kanji,hanviet,hiragana,meaning
空,không,から,trống rỗng
斜め,tà,ななめ,nghiêng
履歴,"lí, lịch",りれき,lý lịch
娯楽,"ngu, lạc",ごらく,"vui chơi, thú vui"
司会,"tư, hội",しかい,"chủ tịch, chủ hội"
歓迎,"hoan, nghênh",かんげい,hoan nghênh
窓口,"song, khẩu",まどぐち,cửa bán vé
手続き,"thủ, tục",てつづき,thủ tục
徒歩,"đồ, bộ",とほ,đi bộ
駐車,"trú, xa",ちゅうしゃ,bãi đỗ xe
違反,"vi, phản",いはん,phản đối
平日,"bình, nhật",へいじつ,ngày thường
日付,"nhật, phó",ひづけ,ngày tháng
日中,"nhật, trung",にっちゅう,ban ngày
日程,"nhật, trình",にってい,"lịch trình, kế hoạch"
日帰り,"nhật, qui",ひがえり,đi về trong ngày
順序,"thuận, tự",じゅんじょ,thứ tự
時期,"thời, kì",じき,thời kì
現在,"hiện, tại",げんざい,hiện tại
臨時,"lâm, thời",りんじ,tạm thời
費用,"phí, dụng",ひよう,chi phí
定価,"định, giá",ていか,giá cố định
割引,"cát, dẫn",わりびき,giảm giá
おまけ,,おまけ,quà khuyến mại
無料,"vô, liệu",むりょう,miễn phí
現金,"hiện, kim",げんきん,tiền mặt
合計,"hợp, kế",ごうけい,tổng cộng
収入,"thu, nhập",しゅうにゅう,thu nhập
支出,"chi, xuất",ししゅつ,chi phí
予算,"dự, toán",よさん,ngân sách
利益,"lợi, ích",りえき,lợi nhuận
赤字,"xích, tự",あかじ,"lỗ, thâm hụt"
経費,"kinh, phí",けいひ,kinh phí
勘定,"khám, định",かんじょう,"tính toán, thanh toán"
弁償,"biện, thường",べんしょう,bồi thường
請求,"thỉnh, cầu",せいきゅう,yêu cầu
景気,"cảnh, khí",けいき,kinh tế
募金,"mộ, kim",ぼきん,"quyên tiền, gây quỹ"
募集,"mộ, tập",ぼしゅう,tuyển dụng
価値,"giá, trị",かち,giá trị
好む,hảo,このむ,thích
嫌う,hiềm,きらう,ghét
願う,nguyện,ねがう,"ước, yêu cầu"
甘える,cam,あまえる,nũng nịu
かわいがる,,かわいがる,yêu mến
気付く,"khií, phó",きづく,nhận ra
疑う,nghi,うたがう,nghi ngờ
苦しむ,khổ,くるしむ,"khổ, chịu đựng"
悲しむ,bi,かなしむ,buồn
がっかりする,,がっかりする,thất vọng
励ます,lệ,はげます,động viên
うなずく,,うなずく,gật đầu
張り切る,"trương, thiết",はりきる,"hăm hở, làm việc chăm chỉ"
威張る,"uy, trương",いばる,kiêu ngạo
怒鳴る,"nộ, minh",どなる,hét lên
暴れる,bạo,あばれる,"nổi giận, bạo lực"
しゃがむ,,しゃがむ,"ngồi chơi, ngồi xổm"
どく,,どく,làm tránh ra
どける,,どける,tránh ra
かぶる,,かぶる,đội
かぶせる,,かぶせる,phủ lên
かじる,,かじる,"nhai, cắn"
撃つ,kích,うつ,bắn
漕ぐ,tào,こぐ,đạp xe
敷く,phu,しく,trải ra
つぐ,,つぐ,đổ
配る,phối,くばる,phân phát
放る,phóng,ほうる,"ném, bỏ mặc"
掘る,quật,ほる,"đào, khai quật"
まく,,まく,"rắc, rải"
測る・計る・量る,"trắc, kế, lượng",はかる,"đo, đo đạc"
占う,chiêm,うらなう,"dự đoán, bói"
引っ張る,"dẫn, trương",ひっぱる,kéo
突く,đột,つく,"chọc, đâm"
突き当たる,"đột, đương",つきあたる,đi hết đường
立ち止まる,"lập, chỉ",たちどまる,dừng lại
近寄る,"cận, kí",ちかよる,tiếp cận
横切る,"hoành, thiết",よこぎる,băng qua
転ぶ,chuyển,ころぶ,ngã
つまずく,,つまずく,"ngã, vấp ngã"
ひく,,ひく,chèn
おぼれる,,おぼれる,"chìm, đắm"
痛む,thống,いたむ,đau
かかる,,かかる,bị nhiễm
よう,,よう,say
吐く,,はく,"thở ra, nôn ra"
診る,chẩn,みる,chuẩn đoán
見舞う,"kiến, vũ",みまう,đi thăm bệnh
勤める,cần,つとめる,làm việc
稼ぐ,giá,かせぐ,kiếm tiền
支払う,"chi, phất",しはらう,trả tiền
受け取る,"thụ, thủ",うけとる,nhận
払い込む,"phất, nhập",はらいこむ,trả vào
払い戻す,"phất, lệ",はらいもどす,trả lại
引き出す,"dẫn, xuất",ひきだす,rút ra
もうかる,,もうかる,có lợi nhuận
もうける,,もうける,kiếm lợi
落ち込む,"lạc, nhập",おちこむ,"giảm, rơi"
売れる,mại,うれる,bán chạy
売り切れる,"mại, thiết",うりきれる,bán sạch
くっ付く,phó,くっつく,gắn vào
くっ付ける,phó,くっつける,dính vào
固まる,cố,かたまる,cứng lại
固める,cố,かためる,làm cứng
縮む,xúc,ちぢむ,"ngắn lại, co lại"
縮まる,xúc,ちぢまる,làm ngắn
縮める,xúc,ちぢめる,làm ngắn
沈む,trầm,しずむ,"chìm, lặn, bị nhấn xuống"
沈める,trầm,しずめる,"chìm, lặn"
下がる,hạ,さがる,rơi
下げる,hạ,さげる,"giảm bớt, hạ"
転がる,truyền,ころがる,(tự)lăn
転がす,truyền,ころがす,lăn(vật gì đó)
傾く,khuynh,かたむく,nghiêng
傾ける,khuynh,かたむける,hướng vào
裏返す,"lý, phản",うらがえす,lật úp
散らかる,tán,ちらかる,"bừa bộn, trong mớ hỗn độn"
散らかす,tán,ちらかす,"lung tung, vương vãi"
散らばる,tán,ちらばる,vứt lung tung
刻む,khắc,きざむ,cắt nhỏ
挟まる,hiệp,はさまる,bị kẹp
挟む,hiệp,はさむ,kẹp
つぶれる,,つぶれる,bị hỏng
つぶす,,つぶす,"làm hỏng, giết(thời gian)"
へこむ,,へこむ,lõm
ほどける,,ほどける,"mở, cởi ra"
ほどく,,ほどく,cởi
枯れる,khô,かれる,"bị héo, bị tàn"
枯らす,khô,からす,héo
傷む,thương,いたむ,bị hỏng
湿る,thấp,しめる,bị ẩm
凍る,đông,こおる,đông cứng
震える,chấn,ふるえる,run rẩy
輝く,huy,かがやく,sáng
あふれる,,あふれる,"tràn, đầy"
余る,dư,あまる,còn sót lại
目立つ,"mục, lập",めだつ,nổi bật
見下ろす,"kiến, hạ",みおろす,nhìn xuống
戦う/闘う,"chiến, đấu",たたかう,"đánh nhau, tranh chấp"
敗れる,bại,やぶれる,bị đánh bại
逃げる,đào,にげる,chạy trốn
逃がす,đào,にがす,thả ra
戻る,lệ,もどる,quay lại
戻す,lệ,もどす,để trả lại
はまる,,はまる,"khớp, bị kẹt"
はめる,,はめる,làm chặt lại
扱う,tráp,あつかう,"đối xử, xử lý"
関わる,quan,かかわる,liên quan
目指す,"mục, chỉ",めざす,hướng đến
立つ・発つ,"lập, phát",たつ,"khởi hành, rời khỏi"
迎える,nghênh,むかえる,đón
持てる,trì,もてる,"phổ biến, được yêu thích"
例える,lệ,たとえる,"ví như, so với"
努める,nỗ,つとめる,"nỗ lực, cố gắng"
務まる,vụ,つとまる,hợp
務める,vụ,つとめる,"phục vụ, làm"
取り消す,"thủ, tiêu",とりけす,hủy
終える,chung,おえる,kết thúc
呼びかける,hô,よぶかける,gọi
呼び出す,"hô, xuất",よぶだす,"triệu hồi, triệu tập"
有難い,"hữu, nan",ありがたい,cảm ơn
申し訳ない,"thân, dịch",もうしわけない,xin lỗi
めでたい,,めでたい,"vui, hạnh phúc"
幸いな,hạnh,さいわいな,hạnh phúc
恋しい,luyến,こいしい,nhớ
懐かしい,hoài,なつかしい,"thân thiết, nhớ nhà"
幼い,ấu,おさない,"non nớt, bé"
心細い,"tâm, tế",こころぼそい,cô đơn
かわいそうな,,かわいそうな,tội nghiệp
気の毒な,"khí, độc",きのどくな,"đáng tiếc, đáng thương"
貧しい,bần,まずしい,nghèo
惜しい,tích,おしい,đáng tiếc
仕方（が）ない,"sĩ, phương",しかた（が）ない,"vô phương, bó tay"
やむを得ない,đắc,やむをえない,không tránh khỏi
面倒くさい,"diện, đảo",めんどうくさい,phiền toái
しつこい,,しつこい,lằng nhằng
くどい,,くどい,"dài dòng, lắm lời"
煙い,yên,けむい,nhiều khói
邪魔な,"tà, ma",じゃまな,vướng víu
うるさい,,うるさい,"ồn ào, om sòm"
騒々しい,tào,そうぞうしい,"ồn ào, sôi nổi"
慌ただしい,hoảng,あわただしい,"vội vã, cuống cuồng"
そそっかしい,,そそっかしい,vô tâm
思いがけない,tư,おもいがけない,không ngờ đến
何気ない,"hà, khí",なにげない,"ngẫu nhiên, tình cờ, không cố ý"
とんでもない,,とんでもない,không thể tin được
くだらない,,くだらない,"vô giá trị, vô nghĩa"
ばかばかしい,,ばかばかしい,"buồn cười, ngu ngốc"
でたらめな,,でたらめな,"bừa, linh tinh"
だらしない,,だらしない,không gọn gàng
ずうずうしい,,ずうずうしい,"vô liêm sỉ, trơ trẽn"
ずるい,,ずるい,"không trung thực, láu cá"
憎らしい,tăng,にくらしい,"đáng ghét, ghê tởm"
憎い,tăng,にくい,"căm thù, ghét"
険しい,hiểm,けわしい,"dốc, nghiêm khắc"
辛い,tân,つらい,đau đớn
きつい,,きつい,"khó khăn, mệt"
緩い,hoãn,ゆるい,"lỏng, chậm"
鈍い,độn,にぶい,"cùn, đần độn, kém"
鋭い,nhuệ,するどい,"sắc, sắc sảo"
荒い・粗い,"hoang, thô",あらい,"bạo lực, khốc liệt"
強引な,"cường, dẫn",ごういんな,"cưỡng bức, bắt buộc"
勝手な,"thắng, thủ",かってな,độc đoán
強気な,"cường, khí",つよきな,"kiên định, vững vàng"
頑固な,"ngoan, cố",がんこな,"bảo thủ, cố chấp"
過剰な,"quá, thặng",かじょうな,"vượt quá, dư thừa"
重大な,"trọng, đại",じゅうたいな,"nghiêm trọng, nguy kịch"
深刻な,"thâm, khắc",しんこくな,nghiêm trọng
気楽な,"khí, lạc",きらくな,"thoải mái, nhàn hạ"
安易な,"an, dịch",あんいな,dễ dàng
運,vận,うん,"số, vận mệnh"
勘,khám,かん,"trực giác, linh cảm"
感覚,"cảm, giác",かんかく,cảm giác
神経,"thần, kinh",しんけい,"thần kinh, nhạy cảm"
記憶,"kí, ức",きおく,"ký ức, trí nhớ"
様子,"dạng, tử",ようす,"trạng thái, tình trạng"
雰囲気,"phân, vi, khí",ふんいき,bầu không khí
魅力,"mị, lực",みりょく,mị lực
機嫌,"cơ, hiềm",きげん,"tâm trạng, sức khỏe"
感心,"cảm, tâm",かんしん,quan tâm
意欲,"ý, dục",いよく,"ý dục, muốn"
全力,"toàn, lực",ぜんりょく,toàn lực
本気,"bản, khí",ほんき,"nghiêm chỉnh, chân thực"
意識,"ý, thức",いしき,ý thức
感激,"cảm, kích",かんげき,"cảm kích, xúc động"
同情,"cảm, tình",どうじょう,"cảm thông, đồng cảm"
同意,"đồng, ý",どうい,đồng ý
同感,"đồng, cảm",どうかん,"đổng cảm, cùng ý kiến"
対立,"đối, lập",たいりつ,đối lập
主張,"chủ, trương",しゅちょう,chủ trương
要求,"yêu, cầu",ようきゅう,yêu cầu
得,đắc,とく,"lợi ích, lãi"
損,tổn,そん,"lỗ, tổn thất"
勝負,"thắng, phụ",しょうぶ,đánh cược
勢い,thế,いきおい,"mạnh mẽ, tràn trề"
爆発,"bộc, phát",ばくはつ,nổ
災害,"tai, họa",さいがい,thảm họa
天候,"thiên, hậu",てんこう,thời tiết
乾燥,"can, táo",かんそう,"sự khô khan, khô hạn"
観測,"quan, trắc",かんそく,"quan sát, dự đoán"
遭難,"tao, nan",そうなん,"thảm họa, tai nạn"
発生,"phát, sinh",はっせい,phát sinh
登場,"đăng, trường",とうじょう,"lối vào, xuất hiện"
回復,"hồi, phục",かいふく,hồi phục
援助,"viện, trợ",えんじょ,viện trợ
保険,"bảo, hiểm",ほけん,bảo hiểm
追加,"truy, gia",ついか,thêm vào
応用,"ứng, dụng",おうよう,ứng dụng
解答,"giải, đáp",かいとう,"trả lời, hồi đáp"
結論,"kết, luận",けつろん,kết luận
案,án,あん,"kế hoạch, ý tưởng"
集中,"tập, trung",しゅうちゅう,tập trung
区別,"khu, biệt",くべつ,phân biệt
差別,"sa, biệt",さべつ,phân biệt (chủng tộc)
中間,"trung, gian",ちゅうかん,ở giữa
逆,nghịch,ぎゃく,ngược lại
よそ,,よそ,nơi khác
外,ngoại,ほか,"người (khác), ngoài ra"
境,cảnh,さかい,"biên giới, ngăn cách"
半ば,bán,なかば,"một nửa, ở giữa"
普段,"phổ, đoạn",ふだん,bình thường
日常,"nhật, thường",にちじょう,hàng ngày
一般,"nhất, ban",いっぱん,"tổng quan, cái chung"
常識,"thường, thức",じょうしき,thường thức
ことわざ,,ことわざ,thành ngữ
権利,"quyền, lợi",けんり,quyền lợi
義務,"nghĩa, vụ",ぎむ,nghĩa vụ
きっかけ,,きっかけ,"cơ hội, khởi đầu"
行動,"hành, động",こうどう,hành động
使用,"sử, dụng",しよう,sử dụng
提出,"đề, xuất",ていしゅつ,"đề xuất, trình bày"
期限,"kỳ, hạn",きげん,"giới hạn, kỳ hạn"
延期,"đình, hạn",えんき,trì hoãn
延長,"đình, trường",えんちょう,kéo dài
短縮,"đoản, súc",たんしゅく,rút ngắn
映像,"ánh, tượng",えいぞう,hình ảnh
撮影,"toát, ảnh",さつえい,chụp ảnh
背景,"bối, cảnh",はいけい,"bối cảnh, phông nền"
独立,"độc, lập",どくりつ,độc lập
候補,"hậu, bổ",こうほ,"ứng cử, ứng cử viên"
支持,"chi, trì",しじ,hỗ trợ
投票,"đầu, phiếu",とうひょう,bầu cử
当選,"đương, tuyển",とうせん,"trúng cử, trúng giải"
抽選,"trừu, tuyển",ちゅうせん,rút thăm
配布,"phối, bố",はいふ,phân phát
失格,"thất, cách",しっかく,"mất tư cách, mất quyền"
余暇,"dư, hạ",よか,thời gian rỗi
行事,"hành, sự",ぎょうじ,sự kiện
理想,"lý, tưởng",りそう,lý tưởng
現実,"hiện, thực",げんじつ,"hiện thực, thực tế"
体験,"thể, nghiệm",たいけん,trải nghiệm
空想,"không, tưởng",くうそう,"không tưởng, kỳ diệu"
実物,"thực, vật",じつぶつ,"thực chất, nguyên bản"
実現,"thực, hiện",じつげん,hiện thực
実施,"thực, thi",じっし,thực thi
許可,"hứa, khả",きょか,sự cho phép
全体,"toàn, thể",ぜんたい,toàn thể
部分,"bộ, phận",ぶぶん,bộ phận
統一,"thống, nhất",とういつ,thống nhất
拡大,"khuyếch, đại",かくだい,"mở rộng, tăng lên"
縮小,"súc, thiểu",しゅくしょう,"co nhỏ, nén lại"
集合,"tập, hợp",しゅうごう,tập hợp
方向,"phương, hướng",ほうこう,phương hướng
間隔,"gian, cách",かんかく,"khoảng cách, khoảng giữa"
脇,hiếp,わき,phía bên
通過,"thông, quá",つうか,thông qua
移動,"di, động",いどう,di chuyển
停止,"đình, chỉ",ていし,"dừng lại, tạm dừng"
低下,"đê, hạ",ていか,"rơi xuống, từ chối"
超過,"việt, quá",ちょうか,vượt quá
アンテナ,,アンテナ,ăng ten
イヤホン,,イヤホン,tai nghe
サイレン,,サイレン,tiếng chuông
コード,,コード,dây (điện)
モニター,,モニター,"mô tơ, màn hình"
メーター,,メーター,đồng hồ đo
ペア,,ペア,một cặp
リズム,,リズム,giai điệu
アクセント,,アクセント,"giọng, nhấn"
アルファベット,,アルファベット,bảng chữ cái
アドレス,,アドレス,địa chỉ
メモ,,メモ,ghi chú
マーク,,マーク,đánh dấu
イラスト,,イラスト,minh họa
サイン,,サイン,"chữ kí, kí"
スター,,スター,ngôi sao nổi tiếng
アンコール,,アンコール,lần nữa
モデル,,モデル,mẫu
サンブル,,サンブル,hàng mẫu
スタイル,,スタイル,"kiểu cách, phong cách"
ウエスト,,ウエスト,"eo, vòng eo"
カロリー,,カロリー,calo
オーバー,,オーバー,quá
コントロール,,コントロール,"kiểm soát, điều khiển"
カーブ,,カーブ,"khúc cua, cong"
コース,,コース,khóa học
レース,,レース,cuộc đua
リード,,リード,dẫn đầu
トップ,,トップ,đầu bảng
ゴール,,ゴール,"đạt thành tích, ghi bàn"
パス,,パス,vượt qua
ベスト,,ベスト,tốt nhất
レギュラー,,レギュラー,bình thường
コーチ,,コーチ,huấn luyện viên
キャプテン,,キャプテン,đội trưởng
サークル,,サークル,vòng
キャンパス,,キャンパス,trại
オリエンテーション,,オリエンテーション,định hướng
カリキュラム,,カリキュラム,giáo án
プログラム,,プログラム,chương trình
レッスン,,レッスン,bài học
レクリエーション,,レクリエーション,giải trí
レジャー,,レジャー,"vui chơi, rảnh rỗi"
ガイド,,ガイド,hướng dẫn
シーズン,,シーズン,mùa
ダイヤ,,ダイヤ,thời gian biểu
ウイークデー,,ウイークデー,ngày trong tuần
サービス,,サービス,dịch vụ
アルコール,,アルコール,"cồn, rượu"
デコレーション,,デコレーション,trang trí
最も,tối,もっとも,nhất
ほぼ,,ほぼ,gần như
相当,"tương, đương",そうとう,đáng kể
割に・割と・割合(に・と),"cát, hợp",わりに・わりと・わりあい(に・と),tương đối
多少,"đa, thiểu",たしょう,một chút
少々,thiểu,しょうしょう,"một chút, khoảnh khắc"
全て,toàn,すべて,mọi thứ
何もかも,hà,なにもかも,"toàn bộ, mọi thứ"
たつぷり,,たつぷり,"đủ, nhiều"
できるだけ,,できるだけ,càng ~ càng
次第に,"thứ, đề",しだいに,dần dần
徐々に,từ,じょじょに,từng chút một
さらに,,さらに,hơn nữa
一層,"nhất, tằng",いっそう,"hơn, vẫn"
一段と,"nhất, đoạn",いちだんと,hơn rất nhiều
より,,より,hơn
結局,"kết, cục",けっきょく,kết cuộc
ようやく,,ようやく,cuối cùng
再び,tái,ふたたび,lần nữa
たちまち,,たちまち,ngay lập tức
今度,"kim, độ",こんど,lần tới
今後,"kim, hậu",こんご,từ bây giờ
後(に),hậu,のち(に),"sau đó, tương lai"
まもなく,,まもなく,sắp
そのうち(に),,そのうち(に),lúc nào đó
やがて,,やがて,cuối cùng
いずれ,,いずれ,sớm hay muộn
先ほど,tiên,さきほど,mới lúc trước
とっくに,,とっくに,"rồi, lâu rồi"
すでに,,すでに,rồi
事前に,"sự, tiền",じぜんに,trước
当日,"đương, nhật",とうじつ,ngày đó
当時,"đương, thời",とうじ,thời đó
一時,"nhất, thời",いちじ,"nhất thời, có lúc"
至急,"chí, cấp",しきゅう,khẩn cấp
直ちに,trực,ただちに,ngay lập tức
早速,"tảo, thúc",さっそく,nhanh chóng
いきなり,,いきなり,bất ngờ
常に,thường,つねに,thường xuyên
絶えず,tục,たえず,liên tục
しばしば,,しばしば,rất thường xuyên
たびたび,,たびたび,"hay, nhiều lần"
しょっちゅう,,しょっちゅう,"luôn luôn, thường xuyên"
たまに,,たまに,thỉnh thoảng
めったに,,めったに,hiếm khi
にこにこ・にっこり,,にこにこ・にっこり,"cười khúc khích, cười sung sướng"
にやにや・にやりと,,にやにや・にやりと,cười tủm
どきどき・どきりと,,どきどき・どきりと,hồi hộp
はらはら,,はらはら,run rẩy
かんかん,,かんかん,"bực mình, nóng nảy"
びしょびしょ・びっしょり,,びしょびしょ・びっしょり,ẩm ướt
うろうろ,,うろうろ,"đi lung tung, đi xung quanh"
のろのろ,,のろのろ,"chậm rãi, chậm như sên"
ふらふら,,ふらふら,"chóng mặt, hay thay đổi"
ぶらぶら,,ぶらぶら,"quanh quẩn, ngồi không"
従って,,したがって,theo đó
だが,,だが,tuy nhiên
ところが,,ところだ,nhưng
しかも,,しかも,hơn nữa
すると,,すると,như vậy
なぜなら,,なぜなら,"bởi vì, vì"
だって,,だって,"bởi vì, như"
ようするに,,ようするに,tóm lại
すなわち,,すなわち,"có nghĩa là, đó là"
あるいは,,あるいは,"hoặc, có lẽ"
さて,,さて,nhân tiện
では,,では,"thế thì, trong trường hợp đó"
ところで,,ところで,nhân tiện
そう言えば,ngôn,そういえば,nghĩ kỹ thì
ただ,,ただ,"nhưng, ngoại trừ"
食料・食糧,"thực, liệu, lượng",しょくりょう,"đồ ăn, thực phẩm"
粒,lạp,つぶ,"hạt, viên"
くず,,くず,vụn rác
栽培,"tài, bồi",さいばい,nuôi trồng
収穫,"thu, hoạch",しゅうかく,thu hoạch
産地,"sản, địa",さんち,nơi sản xuất
土地,"thổ, địa",とち,đất đai
倉庫,"thương, khố",そうこ,kho
所有,"sở, hửu",しょゆう,sở hữu
収集,"thu, tập",しゅうしゅう,thu thập
滞在,"trệ, tại",たいざい,ở
便,tiện,べん,thuận tiện
便,tiện,びん,thư
設備,"thiết, bị",せつび,thiết bị
設計,"thiết, kế",せっけい,"thiết kế, kế hoạch"
制作・製作,"chế, tác, chế",せいさく,"chế tạo, sản xuất"
製造,"chế, tạo",せいぞう,"chế tạo, sản xuất"
建築,"kiến, trúc",けんちく,"kiến thiết, xây dựng"
人工,"nhân, công",じんこう,nhân tạo
圧力,"áp, lực",あつりょく,áp lực
刺激,"thích, kích",しげき,"kích thích, khiêu khích"
摩擦,"ma, sát",まさつ,ma sát
立場,"lập, trường",たちば,lập trường
役割,"thiết, hại",やくわり,vai trò
分担,"phân, đảm",ぶんたん,chia sẻ
担当,"đảm, đương",たんとう,"chịu trách nhiệm, đảm đương"
交代・交替,"giao, đại, thế",こうたい,"thay phiên, thay đổi"
代理,"đại, lý",だいり,đại lý
審判,"phiên, phán",しんぱん,"thẩm phám, trọng tài"
監督,"giám, đốc",かんとく,huấn luyện viên
予測,"du, trắc",よそく,dự đoán
予期,"dư, kỳ",よき,mong đợi
判断,"phán, đoạn",はんだん,phán đoán
評価,"bình, giá",ひょうか,"đánh giá, bình phẩm"
指示,"chỉ, thị",しじ,"chỉ dẫn, chỉ thị"
無視,"vô, thị",むし,"bỏ qua, ngó ngơ"
無断,"vô, đoạn",むだん,không cho phép
承知,"thừa, tri",しょうち,"hiểu, đồng ý"
納得,"nạp, đắc",なっとく,"bị thuyết phục, thỏa mãn"
疑問,"nghi, vấn",ぎもん,nghi vấn
推測,"suy, trắc",すいそく,phỏng đoán
肯定,"khẳng, định",こうてい,khẳng định
参考,"tham, gia",さんこう,tham khảo
程度,"trình, độ",ていど,trình độ
評判,"bình, phán",ひょうばん,"bình luận, có tiếng"
批評,"phê, bình",ひひょう,"xem xét, chỉ trích"
推薦,"suy, tiến",すいせん,"tiến cử, giới thiệu"
信用,"tín, dụng",しんよう,"tự tin, lòng tin"
信頼,"tín, lại",しんらい,"tin tưởng, tín nhiệm"
尊重,"tôn, trọng",そんちょう,tôn trọng
作業,"tác, nghiệp",さぎょう,"công việc, sự làm việc"
工夫,"công, phu",くふう,"công sức, thiết bị"
消化,"tiếu, hóa",しょうか,"tiêu hóa, tiêu thụ"
吸収,"phổ, cập",きゅうしゅう,hấp thụ
設置,"thiết, trí",せっち,cài đặt
設定,"thiết, định",せってい,"thiết lập, chỉnh sửa"
調節,"điều, tiết",ちょうせつ,điều khiển
調整,"điều, chỉnh",ちょうせい,điều chỉnh
解放,"giải, phóng",かいほう,"mở cửa, tự do hóa, giải phóng"
総合,"tổng, hợp",そうごう,"tổng hợp, cùng nhau"
連続,"liên, tục",れんぞく,liên tục
持続,"trì, tục",じぞく,kéo dài
中断,"trung, đoạn",ちゅうだん,gián đoạn
安定,"an, định",あんてい,ổn định
混乱,"hỗn, loạn",こんらん,"hỗn độn, hỗn loạn"
上昇,"thượng, thăng",じょうしょう,"tiến lên, tăng lên"
達成,"đạt, thành",たっせい,"thành tựu, đạt được"
事情,"sự, tình",じじょう,"tình hình, điều kiện"
事態,"sự, thái",じたい,"tình hình, tình trạng"
障害,"chướng, hại",しょうがい,"cản trở, khó khăn"
福祉,"phúc, chỉ",ふくし,phúc lợi
社会,"xã, hội",しゃかい,xã hội
都会,"đô, hội",とかい,"thành phố, thành thị"
世論,"thế, luận",よろん,dư luận
民族,"dân, tộc",みんぞく,dân tộc
映る,ánh,うつる,"bị phản chiếu, được chiếu"
映す,ánh,うつす,"chiếu, phản chiếu"
つかる,,つかる,"bị ngập, bị chìm"
つける,,つける,chìm xuống
浮かぶ,phù,うかぶ,"nổi, nghĩ về, bề mặt"
浮かべる,phù,うかべる,cho nổi
浮く,phù,うく,"nổi, tăng lên"
潜る,tiềm,もぐる,"nhấn chìm, ẩn giấu"
跳ねる,khiêu,はねる,"nhảy, chạy qua"
背負う,"bối, phụ",せおう,"mang vác, chịu"
追う,truy,おう,"đuổi, theo đuổi"
追いかける,truy,おいかける,"chạy theo, đuổi theo"
追いつく,truy,おいつく,đuổi kịp
追い越す,"truy, việt",おいこす,vượt qua
振り向く,"chấn, hướng",ふりむく,"nhìn quanh, chú ý"
捕る・採る・執る,"bộ, thái, chấp",とる,"lấy, tuyển dụng"
取り上げる,"thủ, thượng",とりあげる,"nhặt lên, lấy, chọn"
取り入れる,"thủ, nhập",とりいれる,"nhận nuôi, thu hoạch"
削る,tước,けずる,"cắt xuống, giảm, làm sắc"
縛る,phược,しばる,"buộc, thắt"
絞る・搾る,"giảo, trá",しぼる,"vắt, bóp"
回る,hồi,まわる,"xoay quanh, quay lại"
回す,hồi,まわす,"xoay, qua, gửi, chuyển nhượng, đầu tư"
区切る,"khu, thiết",くぎる,"chia, nhấn mạnh"
