kanji,hanviet,hiragana,meaning
新卒,,しんそつ,Mới tốt nghiệp
侍,,さむらい,Võ sĩ Samurai
剣,,けん,Cây kiếm
弓,,ゆみ,Cây cung
槍,,やり,Ngọn giáo
湿度,,しつど,Độ ẩm
どら焼き,,どらやき,Bánh Dorayaki (bánh rán với đậu ngọt)
連日,,れんじつ,"Hàng ngày, mỗi ngày"
包装紙,,ほうそうし,Giấy bao/gói
空き缶,,あきかん,"Lon rỗng, lon không"
山間部,,さんかんぶ,Khu vực miền núi
零細企業,,れいさいきぎょう,Doanh nghiệp nhỏ
自負（する）,,じふ（する）,"Kiêu ngạo, tự phụ"
雑草,,ざっそう,Cỏ dại
裁判官,,さいばんかん,Quan chức tòa án
感情,,かんじょう,"Cảm xúc, tình cảm"
（感情を）抑える,,（かんじょうを）おさえる,Đè nén (cảm xúc)
源氏物語,,げんじものがたり,Genji Monogatari (Một câu chuyện dài được viết bởi Murasaki Shikibu
壮大な,,そうだいな,Hoành tráng
恋愛小説,,れんあいしょうせつ,Tiểu thuyết tình yêu
傑作,,けっさく,Kiệt tác
小熊,,こぐま,Con gấu con
不用意,,ふようい,"Không chuẩn bị, cẩu thả"
閉鎖,,へいさ,"Đóng cửa, đình chỉ"
洪水,,こうずい,Lũ lụt
避難所,,ひなんじょ,"Chỗ, nơi lánh nạ"
鉄道,,てつどう,Đường sắt
廃線,,はいせん,Đường sắt đã đóng
登山隊,,とざんたい,Đội leo núi
相次ぐ,,あいつぐ,Liên tục
大臣,,だいじん,Bộ trưởng
不適切な,,ふてきせつな,Không thích hợp
地球温暖化,,ちきゅうおんだんか,Việc nóng lên của trái đất
海面上昇,,かいめんじょうしょう,Mực nước biển tăng lên
移住,,いじゅう,Di trú
再編成,,さいへんせい,Tái tổ chức
コスト削減,,こすとさくげん,Cắt giảm chi phí
,,ニーズ,Nhu cầu
海外移転,,かいがいいてん,Di chuyển ra nước ngoài
故郷,,こきょう,"Cố hương, quê"
決勝戦,,けっしょうせん,Trận chung kết
嘘,,うそ,Lời nói dối
牧場,,ぼくじょう,Nông trại
羊,,ひつじ,Con cừu
群れ,,むれ,"Bầy, đàn"
柵,,さく,Hàng rào
～に追い込む,,～においこむ,"Dồn lại, tập hợp vào ~"
一粒,,ひとつぶ,Một hạt
国籍,,こくせき,Quốc tịch
先輩,,せんぱい,"Tiền bối, đàn anh"
お節介,,おせっかい,"Chen vào, can thiệp, tọc mạch"
叔母,,おば,"Dì, cô, bác gái"
過程,,かてい,Quá trình
軽んじる,,かろんじる,"Nhìn xuống, Xem nhẹ, coi thường"
外科医,,げかい,Bác sỹ ngoại khoa
患者,,かんじゃ,Bệnh nhân
軽視（する）,,けいし（する）,Xem nhẹ
広告,,こうこく,Quảng cáo
～費,,～ひ,Phí
～にかかる費用,,～にかかるひよう,Chi phí dùng cho ~
当選者,,とうせんしゃ,Người trúng tuyển
発送,,はっそう,"Sự gửi đi, chuyển đi"
議案,,ぎあん,Bản gốc đề án trong hội nghị
承認（する）,,しょうにん（する）,Thừa nhận
毒,,どく,Chất độc
制す（＝制する）,,せいす（＝せいする）,"Quản lý, điều khiển"
相続,,そうぞく,"Tiếp tục đảm nhiệm, kế thừa"
当事者,,とうじしゃ,"Đương sự, người có liên quan"
協議,,きょうぎ,"Hợp tác, thương thảo"
多数決,,たすうけつ,Quyết định theo đa số
負傷（する）,,ふしょう（する）,Bị thương
控え,,ひかえ,"Dự trữ, dự bị"
書面,,しょめん,Trên giấy tờ
その旨,,そのむね,"Ý nghĩa, tôn chỉ"
一流,,いちりゅう,"Hạng nhất, hàng đầu"
,,シェフ,Đầu bếp
団結,,だんけつ,Đoàn kết
一丸,,いちがん,Đồng tâm hiệp lực
無茶,,むちゃ,"Vô duyên, không hợp lý"
難病,,なんびょう,Bệnh khó chữa
治療,,ちりょう,Trị liệu
一助,,いちじょ,"Phụ tá, giúp đỡ"
欲望,,よくぼう,"Ước muốn, mong ước"
矛盾,,むじゅん,Mâu thuẫn
敬愛（する）,,けいあい（する）,"Kính yêu, tôn thờ"
悔しい,,くやしい,"Cay cú, hối tiếc"
,,シュバイツァー,Schweizer (một bác sỹ người Đức)
生涯,,しょうがい,"Sinh nhai, cuộc đời"
,,けち,"Keo kiệt, bủn xỉn"
怠ける,,なまける,Lười biếng
大層,,たいそう,"Rất tốt, rất nhiều"
,,ほこり,Bụi
,,どろぼう,Kẻ trộm
お嫁さん,,およめさん,Cô dâu
結構,,けっこう,"Được rồi, đủ rồi"
気立て,,きだて,"Khí chất, bản chất"
文句,,もんく,Phàn nàn
身なり,,みなり,"Vóc dáng, cử chỉ"
見違える,,みちがえる,Nhìn nhầm
,,ホイッスル,"Sáo, còi"
響く,,ひびく,Vang vọng
泥,,どろ,Bùn
健闘,,けんとう,Phấn đấu
,,たたえる,"Tán dương, ca tụng, ca ngợi"
小麦粉,,こむぎこ,Bột mỳ
,,ボウル,"Cái tô, bát to"
ひっくり返す,,ひっくりかえす,"Lật ngược, đảo"
粉,,こな,Bột
担架,,たんか,Cáng khiêng bệnh nhân
借金,,しゃっきん,"Khoản vay, nợ"
脱出（する）,,だっしゅつ（する）,"Trốn thoát, thoát khỏi"
弁護士,,べんごし,Luật sư
押し入れ,,おしいれ,Tủ âm tường
,,しわ,"Nhăn, nếp nhăn"
再三,,さいさん,"Dăm ba bận, ba lần"
引きとめる,,ひきとめる,"Giữ lại, nén lại"
携える,,たずさえる,Mang theo
戦場,,せんじょう,Chiến trường
～に向かう,,～にむかう,Hướng đến ~
,,サークル,Câu lạc bộ sinh hoạt ở trường học
低迷,,ていめい,Trì trệ
順調に,,じゅんちょうに,"Thuận lợi, trôi chảy"
売上,,うりあげ,Doanh thu
進言,,しんげん,"Tham mưu, tư vấn"
冷ややかな,,ひややかな,"Lạnh lùng, băng giá"
視線,,しせん,"Ánh mắt, tầm nhìn"
一群,,いちぐん,"Một đám, một nhóm"
営業部,,えいぎょうぶ,Bộ phận kinh doanh
幼い,,おさない,"Trẻ con, ngây thơ"
収納,,しゅうのう,Thu chi
証拠,,しょうこ,Chứng cứ
断定,,だんてい,"Quyết định, kết luận"
願書,,がんしょ,Đơn xin
消印,,けしいん,"Dấu bưu điện, đóng dấu bán"
有効,,ゆうこう,"Hiệu lực, có giá trị"
,,ルーズ,"Cẩu thả, lỏng lẻo"
方々で,,ほうぼうで,"Đây đó, tất cả các nơi"
あげくの果てに：結局,,あげくのはてに：けっきょく,"Trên hết: cuối cùng, kết cục"
解雇（する）,,かいこ（する）,Sa thải
口癖,,くちぐせ,Quen miệng
詐欺,,さぎ,Lừa gạt
転職（する）,,てんしょく（する）,Thay đổi nghề nghiệp
,,コンタクト,Kính áp tròng
牛丼,,ぎゅうどん,Cơm thịt bò
息抜き,,いきぬき,"Thư giãn, nghỉ ngơi"
昇進,,しょうしん,Thăng tiến
目撃者,,もくげきしゃ,Nhưng chứng hiện trường
証言,,しょうげん,"Lời khai, khẩu cung"
銃,,じゅう,Súng
所持（する）,,しょじ（する）,"Sở hữu, mang, giữ"
個性的,,こせいてき,Cá tính
実用的,,じつようてき,Tính thực dụng
定評がある,,ていひょうがある,"Có tiếng, có uy tín"
怪盗,,かいとう,Tên trộm biến hóa khôn lường
犯行,,はんこう,Tội phạm
手口,,てぐち,Thủ thuật phạm tội
大胆,,だいたん,"Liều lĩnh, táo bạo, can đảm"
繊細,,せんさい,"Tinh tế, tinh vi"
腰,,こし,"Eo, hông"
寝返りを打つ,,ねがえりをうつ,Thay đổi hướng ngủ
給料日,,きゅうりょうび,Ngày trả lương
予算,,よさん,Dự toán
中断（する）,,ちゅうだん（する）,"Tạm ngưng, đình chỉ"
再開（する）,,さいかい（する）,Mở lại
好奇心,,こうきしん,"Tò mò, hiếu kỳ"
自慢話,,じまんばなし,Khoe khoang
化け物,,ばけもの,"Ma quái, ma quỷ"
,,こっそり,Lén lút
,,ごろごろする,Vô công rồi nghề
一苦労,,ひとくろう,"Vất vả, khổ nhọc"
釡,,かま,"Cái ấm, cái nồi"
炊く,,たく,Nấu cơm
握り飯,,にぎりめし,Cơm nắm
むしゃむしゃと（食べる）,,むしゃむしゃとたべる,"Ăn ngấu nghiến, nhai ngồm ngoàm"
悲鳴,,ひめい,Tiếng than khóc
ぎらぎら（光る）,,ぎらぎらひかる,Nắng chói chang
妖怪,,ようかい,Kỳ quái
ご無沙汰,,ごぶさた,Đã lâu không liên lạc
お詫び,,おわび,Xin lỗi
祈願,,きがん,"Cầu nguyện, cầu khấn"
早咲き,,はやざき,Nở sớm
梅,,うめ,"Mơ, mai"
出産（する）,,しゅっさん（する）,Sinh đẻ
内気,,うちき,"Nhút nhát, rụt rè, e thẹn"
無口,,むくち,"Kín miệng, ít nói"
強盗,,ごうとう,Cướp
宝くじ,,たからくじ,Xổ số
,,ブランド,Đồ hiệu
偽物,,にせもの,"Đồ giả, hàng giả"
警部,,けいぶ,Thanh tra cảnh sát
受話器,,じゅわき,Ống nghe
王子,,おうじ,Hoàng tử
,,シンデレラ,Công chúa lọ lem
警官,,けいかん,Cảnh sát
伏せる,,ふせる,"Cúi xuống, úp xuống"
発砲（する）,,はっぽう（する）,Bắn súng
苦しむ,,くるしむ,Đau khổ
名人,,めいじん,Người nổi tiếng
器,,うつわ,"Chén, dĩa, bát"
上司,,じょうし,"Xếp, cấp trên"
難解,,なんかい,"Nan giải, khó hiểu"
眺め,,ながめ,Tầm nhìn
なだれ込む,,なだれこむ,Ào ạt đi vào
侍,,さむらい,Võ sĩ Samurai
刀,,かたな,Kiếm
敵,,てき,"Địch, kẻ thù"
魔法使い,,まほうつかい,Phù thủy
呪文,,じゅもん,Thần chú
唱える,,となえる,Niệm chú
,,たちまち,"Ngay lập tức, đột nhiên"
蛙,,かえる,Con ếch
刑事,,けいじ,Hình sự
鐘,,かね,Chuông
馬車,,ばしゃ,Xe ngựa
,,カボチャ,Bí đỏ
待ち構える,,まちかまえる,"Thủ sẵn, chờ, canh"
箱詰め,,はこづめ,Đóng thùng
出荷（する）,,しゅっか（する）,Xuất hàng
（雪を）払う,,（ゆきを）はらう,Quét (tuyết)
,,ガラス,Con quạ
散らかす,,ちらかす,Vung vãi
,,シーンと（する）,Im lặng như tờ
静まり返る,,しずまりかえる,"Im phăng phắc, rơi vào yên lặng"
問い合わせ,,といあわせ,Yêu cầu thông tin
入荷（する）,,にゅうか（する）,Nhập hàng
品薄,,しなうす,Thiếu hàng
排除（する）,,はいじょ（する）,Loại bỏ
過失,,かしつ,Thiệt hại do bất cẩn
損害賠償,,そんがいばいしょう,Bồi thường thiệt hại
請求（する）,,せいきゅう（する）,Thanh toán
盲目,,もうもく,Khiếm thị
,,ピアニスト,Người chơi đàn Piano
奏でる,,かなでる,"Trình diễn, biểu diễn"
聴衆,,ちょうしゅう,Thính giả
（心を）震わす,,こころをふるわす,Rung động lòng người
大手,,おおて,"Xí nghiệp, công ty lớn"
倒産（する）,,とうさん（する）,Phá sản
地球外生命体,,ちきゅうがいせいめいたい,Sinh vật thể ngoài trái đất
異様な,,いような,Kỳ lạ
映像,,えいぞう,Hình ảnh video
衝撃,,しょうげき,"Sốc, tác động, ấn tượng mạnh"
,,アトリエ,"Phòng chụp ảnh, ảnh viện"
寝食,,しんしょく,Việc ăn ngủ
顧客,,こきゃく,Khách hàng
信頼,,しんらい,Sự tin tưởng
徹夜（する）,,てつや（する）,Thức trắng đêm
一気に,,いっきに,Một hơi
,,データ,Dữ liệu
復元,,ふくげん,Khôi phục
,,なぐる,"Đấm, đánh"
頂上,,ちょうじょう,Đỉnh
一人前,,いちにんまえ,Trở thành người lớn
気楽な,,きらくな,"Thoải mái, không gò bó"
待遇,,たいぐう,Đãi ngộ
上司,,じょうし,"Xếp, cấp trên"
同僚,,どうりょう,Đồng nghiệp
後輩,,こうはい,"Hậu bối, đàn em"
現状,,げんじょう,Hiện trạng
支持を仰ぐ,,しじをあおぐ,Tìm kiếm/yêu cầu sự chỉ thị
一見,,いっけん,Nhìn sơ qua
億単位の金,,おくたんいのかね,Tiền đơn vị trăm triệu
,,コマーシャル,Quảng cáo
出演料,,しゅつえんりょう,Phí biểu diễn
観客,,かんきゃく,"Quan khách, người xem"
末の～：一番下の～,,すえの～：いちばんしたの～,Út: ~ Nhỏ tuổi nhất
災害時,,さいがいじ,"Lúc thảm họa, thời điểm thiên tai"
迅速に,,じんそくに,"Nhanh, cấp tốc"
民間,,みんかん,Tư nhân
独創的,,どくそうてき,"Sáng tạo, độc đáo"
平凡,,へいぼん,Bình thường
～に欠ける,,～にかける,Thiếu ~
少子化,,しょうしか,Tỷ lệ sinh giảm
晩婚化,,ばんこんか,Kết hôn muộn tăng
負担,,ふたん,"Gánh nặng, trách nhiệm"
熱中症,,ねっちゅうしょう,Say nắng
水分補給,,すいぶんほきゅう,Bổ sung nước
塩分,,えんぶん,Muối
学生街：学生が集まる街,,がくせいがい：がくせいがあつまるまち,Phố sinh viên
治療,,ちりょう,Trị liệu
予防,,よぼう,Dự phòng
著作権,,ちょさくけん,Quyền tác giả
配慮（する）,,はいりょ（する）,"Xem xét, để ý, quan tâm"
引用（する）,,いんよう（する）,Trích dẫn
,,ウォーターカッター,Máy cắt bằng nước
,,コンクリート,Bê tông
風力発電,,ふうりょくはつでん,Phát điện bằng sức gió
太陽光発電,,たいようこうはつでん,Phát điện bằng năng lượng mặt trời
再選可能エネルギー,,さいせいかのうエネルギー,Năng lượng có thể tái sinh
文科系,,ぶんかけい,Hệ nhân văn
暴力,,ぼうりょく,Bạo lực
地形,,ちけい,Địa hình
実情,,じつじょう,Tình trạng thực tế
災害,,さいがい,"Tai họa, thiên tai"
対策,,たいさく,Đối sách
弊社,,へいしゃ,Công ty chúng tôi
業界,,ぎょうかい,"Nghành, nghề"
路上喫煙（する）,,ろうじょうきつえん（する）,Hút thuốc trên đường
条例,,じょうれい,Điều lệ
罰金,,ばっきん,Tiền phạt
科せられる,,かせられる,"Áp đặt, Áp dụng"
顧客,,こきゃく,Khách hàng
,,ニーズ,Nhu cầu
規定,,きてい,Quy định
奨学金,,しょうがくきん,Học bổng
生態系,,せいたいけい,Hệ sinh thái
保全（する）,,ほぜん（する）,"Bảo toàn, bảo vệ"
人類,,じんるい,Nhân loại
次期～,,じき～,~ tiếp theo
経歴,,けいれき,Quá trình làm việc
人格,,じんかく,Nhân cách
実績,,じっせき,"Thành tích đạt được, kết quả"
有利な,,ゆうりな,Có lợi
転職（する）,,てんしょく（する）,Chuyển việc
景気,,けいき,Tình hình kinh tế
好転（する）,,こうてん（する）,Chuyển biến tốt hơn
経営戦略論,,けいえいせんりゃくろん,Thuyết chiến lược kinh doanh
渡り鳥,,わたりどり,Chim di cư
同窓会,,どうそうかい,Họp lớp
恩師,,おんし,Ân sư
確保（する）,,かくほ（する）,"Nhận được, bảo vệ, gìn giữ"
,,ベテラン,Người thợ giỏi
,,キャリアライフ,Nghề
飲み会,,のみかい,Tiệc nhậu
一時,,いっとき,"Một lát, tức thời"
気晴らし,,きばらし,"Thư thái, thanh thản"
定着（する）,,ていちゃく（する）,Định hình
,,ミス,Lỗi
指摘（する）,,してき（する）,Chỉ trích
長所,,ちょうしょ,Sở trường
叱る,,しかる,La mắng
面倒見,,めんどうみ,Chăm sóc ai
緻密,,ちみつ,"Chính xác, tinh tế"
真実味,,しんじつみ,"Đáng tin cậy, chân thật"
思いやり,,おもいやり,Sự thông cảm
,,ギブ・アンド・テイク,Cho và nhận
,,きっかけ,"Cơ duyên, duyên cớ"
遠方,,えんぽう,"Xa, khoảng cách"
,,ネット,Mạng internet
地方,,ちほう,Địa phương
特産品,,とくさんひん,Đồ đặc sản
環境保護,,かんきょうほご,Bảo vệ môi trường
改めて,,あらためて,"Một lần nữa, lại"
世論,,よろん,"Miệng thế gian, ý kiến công chúng"
に問う,,にとう,"Hỏi, kêu gọi"
不景気,,ふけいき,Tình hình kinh tế không tốt
決算書,,けっさんしょ,Đơn quyết toán
百害あって一利なし,,ひゃくがいあっていちりなし,"Trăm hại, vô lợi"
回避（する）,,かいひ（する）,"Tránh, sự tránh né"
会談,,かいだん,Hội đàm
,,ロケット,Tên lửa
打ち上げ,,うちあげ,Bắn lên
天候,,てんこう,Thời tiết
延期,,えんき,"Hoãn, kéo dài"
情勢,,じょうせい,Tình thế
創意,,そうい,"Sáng ý, sáng tạo"
工夫,,くふう,Công phu suy nghĩ
事業,,じぎょう,Sự nghiệp
売れ行き,,うれゆき,Buôn bán
進路,,しんろ,Con đường tiến lên
受講,,じゅこう,Tham dự khóa học
欠航,,けっこう,Chuyến bay bị hủy
次期～,,じき～,~ tiếp theo
開講（する）,,かいこう（する）,Khai giảng
,,ボーナス,Tiền thưởng
額,,がく,Tổng số tiền
受給者,,じゅきゅうしゃ,Người thụ hưởng
,,キャンセル（する）,Hủy
了承（する）,,りょうしょう（する）,"Công nhận, thừa nhận"
履歴書,,りれきしょ,Lý lịch xin việc
応募,,おうぼ,Ứng tuyển
返却（する）,,へんきゃく（する）,"Trả lại, hoàn trả"
保険,,ほけん,Bảo hiểm
国籍,,こくせき,Quốc tịch
加入,,かにゅう,Gia nhập
義務付ける,,ぎむづける,"Giao nghĩa vụ, yêu cầu bắt buộc"
健闘（する）,,けんとう（する）,Hăng hái chiến đấu
,,プロ,Chuyên nghiệp
時給,,じきゅう,Lương giờ
,,テント,Lều
快適,,かいてき,"Dễ chịu, sảng khoái"
,,リハビリ,Vật lý trị liệu
金メダル,,きんメダル,Huy chương vàng
銅メダル,,どうメダル,Huy chương đồng
～に至る,,～にいたる,"Dẫn đến ~, đến độ ~"
法に触れる,,ほうにふれる,Chạm đến/vi phạm pháp luật
信用,,しんよう,"Tín dụng, sự tin tưởng"
失う,,うしなう,Mất
法律,,ほうりつ,Luật pháp
濃厚な,,のうこうな,Đậm đà
麺,,めん,Mỳ
魅力,,みりょく,Hấp dẫn
,,アルコール,Rượu
,,ソフトドリンク,Các loại nước ngọt
柄,,がら,"Mẫu, mô hình"
,,センス,Có thẩm mỹ
役者,,やくしゃ,Diễn viên
浮世絵,,うきよえ,Tranh khắc gỗ thình hành thời edo
今日,,こんにち,"Hôm nay, ngày nay"
,,アイドル,Thần tượng
高速道路,,こうそくどうろ,Đường cao tốc
,,サービスエリア,Trạm dừng chân
,,テーマパーク,Công viên theo chủ đề
,,ハンバーグ,Thịt băm viên
陰の～,,かげの～,Là nhân tố rất quan trọng đứng ủng hộ từ phía sau
決定事項,,けっていじこう,Các quyết định
,,ストレッチ,Động tác duỗi thẳng chân tay
,,ウォーキング,Đi bộ
,,マラソン,Chạy đường dài
,,ボクシング,Đấm bốc
某～,,ぼうし,"Một số, một vài~"
社会面,,しゃかいめん,Về mặt xã hội
見出し,,みだし,"Tiêu đề, tít báo"
けいび,,けいび,"An ninh, bảo vệ"
奪う,,うばう,Đoạt cướp
宿直,,しゅくちょく,"Ca đêm, trực đêm"
居眠り,,いねむり,Ngủ gật
警察署,,けいさつしょ,Sở cảnh sát
取調室,,とりしらべしつ,Phòng thẩm vấn
間が抜けている,,まがぬけている,"Ngu ngu, ngơ ngơ"
記憶,,きおく,"Ký ức, trí nhớ"
言い訳,,いいわけ,"Biện hộ, phân trần"
納得（する）,,なっとく,"Chấp nhận, lý giải được"
自覚,,じかく,Tự giác
監視,,かんし,"Giám sát, theo dõi"
くぐり抜ける,,くぐりぬける,"Vượt qua, lẫn tránh, trốn tránh"
被害者,,ひがいしゃ,Người bị hại
酷,,こく,"Tàn nhẫn, tàn khốc, tàn bạo"
業種,,ぎょうしゅ,Các loại ngành công nghiệp
,,マスコミ,Truyền thông đại chúng
騒ぐ,,さわぐ,Làm ồn ào
覚悟（する）,,かくご（する）,Giác ngộ
砂漠,,さばく,Sa mạc
,,オアシス,Ốc đảo
嵐,,あらし,Giông bão
灯台,,とうだい,Ngọn hải đăng
慰め,,なぐさめ,"An ủi, động viên"
物足りない,,ものたりない,Không đủ
運,,うん,Vận may
ストレート,,ストレート,Thẳng
化粧水,,けしょうすい,Nước hoa hồng
庶民感覚,,しょみんかんかく,"Suy nghĩ, đánh giá của dân thường"
分析,,ぶんせき,Phân tích
分析が甘い,,ぶんせきがあまい,"(Phân tích) sơ sài, yếu kém"
論旨,,ろんし,"Tranh luận, lập luận"
,,あいまい,Mơ hồ
構成,,こうせい,Cấu trúc
,,サーフィン,Lướt sóng
無茶,,むちゃ,"Vô lý, quá mức"
無謀な,,むぼうな,Thiếu thận trọng
行為,,こうい,Hành vi
,,ルーズ,"Bất cẩn, cẩu thả"
大らか,,おおらか,"Dễ chịu, thong thả"
,,だらしない,"Bừa bộn, lôi thôi"
品質,,ひんしつ,Chất lượng
,,センス,Cảm nhận
今一つ,,いまひとつ,"Kém một chút, không tốt mấy"
人気,,ひとけ,"Được biết đến, phổ biến, nổi tiếng"
,,トンネル,Đường hầm
落書き,,らくがき,"Viết, vẽ bậy"
,,エスカレート（する）,Leo thang
堂々と,,どうどうと,"To lớn, thẳng thắn"
,,いたずら,Nghịch ngợm
,,めちゃくちゃ,Lộn xộn
表現,,ひょうげん,Biểu hiện
面白半分,,おもしろはんぶん,"Vui đùa, đùa nghịch"
甥,,おい,Cháu trai
反抗（する）,,はんこう（する）,"Phản kháng, nổi loạn"
,,さぼる,"Bỏ giờ học, trốn học"
試食,,ししょく,Ăn thử
患者,,かんじゃ,Bệnh nhân
放っておく,,ほうっておく,"Để bỏ đi như nó có, lờ đi"
善意,,ぜんい,Thiện ý
寄付金,,きふきん,Tiền quyên góp
着服（する）,,ちゃくふく（する）,"Sự biển thủ, sự đút túi"
政治家,,せいじか,"Nhà chính trị, chính trị gia"
